id,timestamp,frequency_hz,anomaly_type,confidence_score,severity,description,detection_mode,spectrum_data_id,metadata
a9306abd-f058-466c-9f7d-acf686f1aeca,2025-08-25T17:53:32.953195,98191485.7645782,amplitude,1.0,critical,"Peak at 98.191486 MHz, SNR=25.8 dB, score=1.00",lite,8cc92e7f-9407-4a6b-b8f2-83e881e45881,"{""peak_power"": 3219.99462890625, ""baseline_power"": 8.407029151916504, ""bin_index"": 622329, ""fft_size"": 1048576, ""interp_delta_bins"": -0.2885359639137229, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
50ba92a4-1e25-4ca3-97ec-4e7e410db816,2025-08-25T17:53:39.500727,98194161.53254932,amplitude,1.0,critical,"Peak at 98.194162 MHz, SNR=26.3 dB, score=1.00",lite,2bfb93e1-6f9f-48ed-87af-121f5df50816,"{""peak_power"": 3781.2998046875, ""baseline_power"": 8.848729133605957, ""bin_index"": 623699, ""fft_size"": 1048576, ""interp_delta_bins"": -0.2953347488192338, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
ec2fe300-5bb4-486f-a02c-d0b7d4939f90,2025-08-25T17:53:58.334479,98183675.6871401,amplitude,1.0,critical,"Peak at 98.183676 MHz, SNR=31.3 dB, score=1.00",lite,2a9c4815-73e7-4d69-b3b5-88671eeb43d2,"{""peak_power"": 12611.3076171875, ""baseline_power"": 9.350579261779785, ""bin_index"": 618330, ""fft_size"": 1048576, ""interp_delta_bins"": -0.048184264802052415, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
a88108b8-52d9-4640-a671-0031f06fd839,2025-08-25T17:54:05.740370,98194760.80287158,amplitude,1.0,critical,"Peak at 98.194761 MHz, SNR=33.7 dB, score=1.00",lite,27358b5d-8bfb-4606-92c4-ab3e01ef8814,"{""peak_power"": 21547.099609375, ""baseline_power"": 9.258545875549316, ""bin_index"": 624006, ""fft_size"": 1048576, ""interp_delta_bins"": -0.46892975110483953, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
e55fe1e2-ba88-4373-916c-6dacdc1321e1,2025-08-25T17:54:12.304254,98202348.43909249,amplitude,1.0,critical,"Peak at 98.202348 MHz, SNR=31.7 dB, score=1.00",lite,7aa91216-39e7-4004-9e97-eb30f2da064e,"{""peak_power"": 13881.791015625, ""baseline_power"": 9.281686782836914, ""bin_index"": 627890, ""fft_size"": 1048576, ""interp_delta_bins"": 0.4008153501365254, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
a39e84a6-06fe-450c-9631-1356d683bb6e,2025-08-25T17:54:18.856097,98204933.18575785,amplitude,1.0,critical,"Peak at 98.204933 MHz, SNR=31.1 dB, score=1.00",lite,2119b9c5-424e-409b-9b7f-636c6d1ea05b,"{""peak_power"": 11940.4970703125, ""baseline_power"": 9.309503555297852, ""bin_index"": 629214, ""fft_size"": 1048576, ""interp_delta_bins"": -0.20889198363504993, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
10bffce3-e219-41c8-8a0f-3d0396741ad5,2025-08-25T17:54:25.745635,98185860.68233761,amplitude,1.0,critical,"Peak at 98.185861 MHz, SNR=29.4 dB, score=1.00",lite,88fb05f9-d1a3-44a4-b956-a4dd204ab7f5,"{""peak_power"": 8168.501953125, ""baseline_power"": 9.480389595031738, ""bin_index"": 619449, ""fft_size"": 1048576, ""interp_delta_bins"": -0.3306431443680768, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
1e089cb0-c800-47fd-b7c5-b390eaf68a1d,2025-08-25T17:54:38.865582,98193618.77977096,amplitude,1.0,critical,"Peak at 98.193619 MHz, SNR=28.2 dB, score=1.00",lite,4fa0c986-da1a-4fe6-983f-fd05f1e4cae3,"{""peak_power"": 6247.71044921875, ""baseline_power"": 9.522031784057617, ""bin_index"": 623421, ""fft_size"": 1048576, ""interp_delta_bins"": -0.18475726913749618, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
6b8aee35-6e56-4004-ace6-208921bc1486,2025-08-25T17:54:52.301300,98185804.70125417,amplitude,1.0,critical,"Peak at 98.185805 MHz, SNR=30.4 dB, score=1.00",lite,afbd1237-5f40-4e76-aac0-fbf433e9db9b,"{""peak_power"": 10248.009765625, ""baseline_power"": 9.375694274902344, ""bin_index"": 619420, ""fft_size"": 1048576, ""interp_delta_bins"": 0.00704213915380649, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
f2bf2b9e-bf61-45f9-b7af-cfaa63af1a10,2025-08-25T17:55:05.424236,98209460.78532402,amplitude,1.0,critical,"Peak at 98.209461 MHz, SNR=30.3 dB, score=1.00",lite,4d7a258f-2e4b-4d95-88a3-fce2defb6eec,"{""peak_power"": 10075.3046875, ""baseline_power"": 9.495323181152344, ""bin_index"": 631532, ""fft_size"": 1048576, ""interp_delta_bins"": -0.0779141026731731, ""freq_bin_hz"": 1.953125, ""dc_exclude_hz"": 5000.0, ""edge_exclude_hz"": 10000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 5000.0, ""novelty_cooldown_s"": 3.0, ""novelty_score_delta"": 0.15, ""min_snr_db"": 8.0, ""min_prominence_db"": 6.0, ""local_window_bins"": 5, ""neighbor_support_db"": 3.0, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty+prominence""}"
